"graph","embedder","pk_ratio","name"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_18","struc2vec",0.244444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_25","struc2vec",0.186666666666667,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_24","struc2vec",0.224444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_13","struc2vec",0.233333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_22","struc2vec",0.204444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_46","struc2vec",0.237777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_0","struc2vec",0.233333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_49","struc2vec",0.251111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_5","struc2vec",0.26,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_8","struc2vec",0.231111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_23","struc2vec",0.251111111111111,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_12","struc2vec",0.237777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_31","struc2vec",0.262222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_2","struc2vec",0.257777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_44","struc2vec",0.197777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_16","struc2vec",0.224444444444444,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_43","struc2vec",0.217777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_29","struc2vec",0.18,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_38","struc2vec",0.222222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_14","struc2vec",0.253333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_26","struc2vec",0.233333333333333,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_35","struc2vec",0.217777777777778,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_39","struc2vec",0.222222222222222,"100-0"
"input_data/5_10_graphs_1.0g_0.0ng/graph_sample_32","struc2vec",0.177777777777778,"100-0"
