edgelist,group,embedder,similarity_metric,type,value
input_data/geometric_graphs/graph_sample_21,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.950952380952381
input_data/geometric_graphs/graph_sample_6,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.96875
input_data/geometric_graphs/graph_sample_6,geometric_graphs,kamada_kawai,None,time,0.4942405223846435
input_data/geometric_graphs/graph_sample_6,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9528911564625852
input_data/geometric_graphs/graph_sample_3,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9861495844875346
input_data/geometric_graphs/graph_sample_3,geometric_graphs,kamada_kawai,None,time,0.5253019332885742
input_data/geometric_graphs/graph_sample_3,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.986
input_data/geometric_graphs/graph_sample_34,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9858490566037736
input_data/geometric_graphs/graph_sample_34,geometric_graphs,kamada_kawai,None,time,0.5231361389160156
input_data/geometric_graphs/graph_sample_34,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9924206349206348
input_data/geometric_graphs/graph_sample_27,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9727047146401984
input_data/geometric_graphs/graph_sample_27,geometric_graphs,kamada_kawai,None,time,0.5546038150787354
input_data/geometric_graphs/graph_sample_27,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9917857142857144
input_data/geometric_graphs/graph_sample_32,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.994475138121547
input_data/geometric_graphs/graph_sample_32,geometric_graphs,kamada_kawai,None,time,0.4931139945983886
input_data/geometric_graphs/graph_sample_32,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,1.0
input_data/geometric_graphs/graph_sample_18,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9765013054830288
input_data/geometric_graphs/graph_sample_18,geometric_graphs,kamada_kawai,None,time,0.4886338710784912
input_data/geometric_graphs/graph_sample_18,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.9738095238095238
input_data/geometric_graphs/graph_sample_42,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.8374164810690423
input_data/geometric_graphs/graph_sample_42,geometric_graphs,kamada_kawai,None,time,0.34181809425354
input_data/geometric_graphs/graph_sample_42,geometric_graphs,kamada_kawai,EuclidianDistance,pk_ratio,0.7629761904761905
input_data/geometric_graphs/graph_sample_41,geometric_graphs,kamada_kawai,EuclidianDistance,f_score,0.9641873278236914
input_data/geometric_graphs/graph_sample_41,geometric_graphs,kamada_kawai,None,time,0.3321595191955566
